#O0.954760001251344065
#Ihl100,Kirill
hr200,Kolia
ul1,2|1,1|200
ul2,2|1,2|200
ul3,2|1,3|200
ul4,2|1,4|200
ul5,2|1,5|200
ul6,1|2,1|200
ul7,1|2,2|200
ul8,1|2,3|200
ul9,1|2,4|200
ul10,1|2,5|200
ul11,1|3,1|200
ul12,1|3,2|200
ul13,1|3,3|200
ul14,1|3,4|200
ul15,1|3,5|200
ur16,2|9,1|200
ur17,2|9,2|200
ur18,2|9,3|200
ur19,2|9,4|200
ur20,2|9,5|200
ur21,2|8,1|200
ur22,2|8,2|200
ur23,2|8,3|200
ur24,2|8,4|200
ur25,2|8,5|200
ur26,1|7,1|200
ur27,1|7,2|70
ur28,1|7,3|200
ur29,1|7,4|70
ur30,1|7,5|200
#Aa1,2|26,1|180
a2,2|27,1|50
a3,2|28,1|190
a4,2|29,1|50
a5,2|30,1|180
a16,2|11,1|190
a17,2|12,1|180
a18,2|13,1|180
a19,2|14,1|190
a20,2|15,1|180
a21,2|6,1|190
a22,2|7,1|180
a23,2|8,1|180
a24,2|9,1|190
a25,2|10,1|180
#Am11,1|5,1
m12,1|5,2
m13,1|5,3
m14,1|5,4
m15,1|5,5
m26,1|6,1
m27,1|6,2
m28,1|6,3
m29,1|6,4
m30,1|6,5
#Aa11,1|26,1|150
a12,1|27,1|20
a13,1|28,1|160
a14,1|29,1|20
a15,1|30,1|160
a26,1|11,1|160
a27,1|12,1|150
a28,1|13,1|160
a29,1|14,1|160
a30,1|15,1|160
#Am11,1|4,1
m12,1|4,2
m13,1|4,3
m14,1|4,4
m15,1|4,5
m26,1|7,1
m27,1|7,2
m28,1|7,3
m29,1|7,4
m30,1|7,5
#Aa1,2|26,1|130
a2,2|27,1|0
a3,2|28,1|140
a4,2|29,1|10
a5,2|30,1|150
a16,2|11,1|140
a17,2|12,1|130
a18,2|13,1|140
a19,2|14,1|140
a20,2|15,1|150
a21,2|6,1|180
a22,2|7,1|170
a23,2|8,1|160
a24,2|9,1|170
a25,2|10,1|170
#Am11,1|5,1
m12,1|5,2
m13,1|5,3
m14,1|5,4
m15,1|5,5
m26,1|6,1
m28,1|6,3
m29,1|6,4
m30,1|6,5
#Aa11,1|26,1|100
a12,1|26,1|80
a13,1|28,1|110
a14,1|29,1|-20
a15,1|30,1|130
a26,1|11,1|120
a28,1|13,1|140
d29,1
a30,1|15,1|130
#Am11,1|4,1
m12,1|4,2
m13,1|4,3
m14,1|4,4
m15,1|4,5
m26,1|7,1
m28,1|7,3
m30,1|7,5
#Aa1,2|26,1|60
a2,2|26,1|40
a3,2|28,1|100
a4,2|26,1|20
a5,2|30,1|120
a16,2|11,1|110
a17,2|12,1|120
a18,2|13,1|120
a19,2|14,1|90
a20,2|15,1|120
a21,2|6,1|170
a22,2|7,1|160
a23,2|8,1|140
